Price,Total_Room,Bathroom_Count,Net_M2,Number_of_Floors,Floor,Furnished_Status,Is_New_Building,Is_Occupied,Is_Swap_Available,In_a_Complex,Loan_Eligibility,KonutTipi_Bina,KonutTipi_Daire,KonutTipi_Kooperatif,KonutTipi_Mustakil,KonutTipi_Yali,Age_0,Age_1-5,Age_6-10,Age_11-20,Age_21-30,Age_31-40,Age_41-50,Age_51-70,Heating_Diger-Belirsiz,Heating_Kombi-Bireysel Doğalgaz,Heating_Merkezi Sistem,Heating_Soba-Geleneksel,Heating_Yerden Isıtma-Modern,Tapu_Diger/Riskli,Tapu_Hisseli Mülkiyet,Tapu_Kat İrtifakı,Tapu_Tam Mülkiyet,Building_Type_Encoded,Ground_Risk,District,Neighborhood,District_Encoded,Neighborhood_Encoded,Price_Per_Sqrft
4650000,4,1.0,105,4,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.9473684210526316,Esenler,Esenler_Fatih Mah.,4338050.0,3668125.0,44285.71428571428
5000000,3,1.0,70,3,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8947368421052632,Küçükçekmece,Küçükçekmece_Cumhuriyet Mah.,5819267.973856209,6883600.0,71428.57142857143
6650000,4,2.0,110,5,1.0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9473684210526316,Bahçelievler,Bahçelievler_Siyavuşpaşa Mah.,7928007.2690909095,5805816.666666667,60454.545454545456
8450000,4,1.0,105,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.5263157894736843,Maltepe,Maltepe_Çınar Mah.,8986349.078740157,8976111.111111112,80476.19047619047
5750000,3,1.0,70,5,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Maltepe,Maltepe_İdealtepe Mah.,9119984.249343831,10597327.586206896,82142.85714285714
5300000,3,1.0,80,5,3.0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.42105263157894735,Bağcılar,Bağcılar_Kemalpaşa Mah.,6233324.074074074,2600000.0,66250.0
4600000,3,1.0,75,4,3.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5263157894736843,Maltepe,Maltepe_Zümrütevler Mah.,9057880.516883116,5697962.962962963,61333.333333333336
11350000,4,2.0,98,3,3.0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8421052631578947,Eyüpsultan,Eyüpsultan_Mithatpaşa Mah.,11245361.981132075,23383333.333333332,115816.32653061225
7200000,3,2.0,86,3,2.0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.631578947368421,Avcılar,Avcılar_Tahtakale Mah.,5323508.582822086,6228571.428571428,83720.93023255814
2100000,2,1.0,55,3,1.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0.9368421052631579,Fatih,Fatih_Mevlanakapı Mah.,5625243.243243244,2465384.6153846155,38181.818181818184
