Fiyat,Lokasyon,Link,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt / Net M2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Krediye Uygunlu...,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Cephe,Takas,Kira Getirisi,Aidat,Yetkili Ofis,Site İçerisinde,Krediye Uygunluk,Depozito,Vs30
3.300.000 TL,İstanbul - Kağıthane - Telsizler Mah.,https://www.hepsiemlak.com/istanbul-kagithane-telsizler-satilik/daire/56397-1812,56397-1812,27-09-2025,Satılık,Daire,Daire,2 + 1,1.0,85 m2  / 80 m2,5 Katlı,2. Kat,10 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Belirtilmemiş,"Kuzey, Güney, Doğu",Hayır,18.000 TL,,,,Uygun,,650
2.000.000 TL,İstanbul - Esenler - Oruçreis Mah.,https://www.hepsiemlak.com/istanbul-esenler-orucreis-satilik/daire/65187-4137,65187-4137,02-10-2025,Satılık,Daire,Bahçe Katı,2 + 1,1.0,80 m2  / 70 m2,4 Katlı,Bahçe Katı,9 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,"Doğu, Batı",Hayır,16.000 TL,200 TL,Evet,,Uygun,,820
7.550.000 TL,İstanbul - Kağıthane - Yahya Kemal Mah.,https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-satilik/daire/26693-5063,26693-5063,22-10-2025,Satılık,Daire,Çatı Dubleksi,3 + 1,2.0,180 m2  / 123 m2,6 Katlı,En Üst Kat,9 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,Hayır,,,Evet,,Uygun,,600
11.750.000 TL,İstanbul - Sarıyer - Maslak Mah.,https://www.hepsiemlak.com/istanbul-sariyer-maslak-satilik/daire/10000-16460,10000-16460,27-09-2025,Satılık,Daire,Daire,1 + 1,1.0,84 m2  / 54 m2,32 Katlı,16. Kat,10 Yaşında,Merkezi (Pay Ölçer),Doğalgaz,,Kat İrtifakı,,Çelik,İkinci El,Boş,,Hayır,,,Evet,,Uygun,,800
32.500.000 TL,İstanbul - Sarıyer - Poligon Mah.,https://www.hepsiemlak.com/istanbul-sariyer-poligon-satilik/daire/1503-5895,1503-5895,29-09-2025,Satılık,Daire,Çatı Dubleksi,5 + 1,1.0,240 m2  / 190 m2,5 Katlı,4. Kat,24 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,Kuzey,Hayır,,22.000 TL,Evet,Seba Millenium,Uygun,,750
6.750.000 TL,İstanbul - Bahçelievler - Siyavuşpaşa Mah.,https://www.hepsiemlak.com/istanbul-bahcelievler-siyavuspasa-satilik/daire/125781-654,125781-654,19-10-2025,Satılık,Daire,Daire,3 + 1,1.0,110 m2  / 100 m2,5 Katlı,1. Kat,7 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,Güney,Hayır,,200 TL,Evet,,Uygun,,200
3.195.000 TL,İstanbul - Şişli - Kuştepe Mah.,https://www.hepsiemlak.com/istanbul-sisli-kustepe-satilik/daire/95585-4063,95585-4063,22-10-2025,Satılık,Daire,Daire,1 + 1,1.0,65 m2  / 55 m2,6 Katlı,Yüksek Giriş,8 Yaşında,Kombi,Doğalgaz,,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Kuzey, Güney",Hayır,25.000 TL,250 TL,,,Uygun,,800
7.200.000 TL,İstanbul - Kağıthane - Ortabayır Mah.,https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-satilik/daire/1259-11648,1259-11648,21-10-2025,Satılık,Daire,Daire,3 + 1,1.0,110 m2  / 90 m2,5 Katlı,4. Kat,40 Yaşında,Kombi,Doğalgaz,,Arsa,Eşyalı Değil,Betonarme,İkinci El,Boş,,Hayır,,,Evet,,Uygun değil,,700
6.300.000 TL,İstanbul - Bahçelievler - Siyavuşpaşa Mah.,https://www.hepsiemlak.com/istanbul-bahcelievler-siyavuspasa-satilik/daire/21218-4863,21218-4863,19-10-2025,Satılık,Daire,Daire,2 + 1,1.0,80 m2  / 75 m2,5 Katlı,3. Kat,Sıfır Bina,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Hayır,45.000 TL,,Evet,,Uygun,,200
3.800.000 TL,İstanbul - Zeytinburnu - Yeşiltepe Mah.,https://www.hepsiemlak.com/istanbul-zeytinburnu-yesiltepe-satilik/daire/3448-15026,3448-15026,20-10-2025,Satılık,Daire,Ters Dubleks,3 + 1,2.0,105 m2  / 100 m2,4 Katlı,Yüksek Giriş,10 Yaşında,Kombi,Doğalgaz,,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,,Hayır,,,Evet,,Uygun,,200
2.990.000 TL,İstanbul - Arnavutköy - Karlıbayır Mah.,https://www.hepsiemlak.com/istanbul-arnavutkoy-karlibayir-satilik/daire/77499-966,77499-966,19-10-2025,Satılık,Daire,,3 + 1,2.0,146 m2  / 130 m2,4 Katlı,Zemin,1 Yaşında,Kombi,,,Kat Mülkiyeti,Eşyalı Değil,,,Boş,Doğu,Hayır,,100 TL,,,Uygun,,550
4.200.000 TL,İstanbul - Ataşehir - Kayışdağı Mah.,https://www.hepsiemlak.com/istanbul-atasehir-kayisdagi-satilik/daire/14121-5730,14121-5730,11-10-2025,Satılık,Daire,Daire,1 + 1,1.0,60 m2  / 50 m2,4 Katlı,1. Kat,5 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,,İkinci El,Kiracılı,Doğu,Hayır,,,Evet,,Uygun,,400
3.100.000 TL,İstanbul - Bahçelievler - Soğanlı Mah.,https://www.hepsiemlak.com/istanbul-bahcelievler-soganli-satilik/daire/142768-183,142768-183,19-10-2025,Satılık,Daire,Daire,1 + 1,1.0,55 m2  / 50 m2,5 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Hayır,,,Evet,,Uygun,,200
32.000.000 TL,İstanbul - Adalar - Maden Mah.,https://www.hepsiemlak.com/istanbul-adalar-maden-satilik/kosk/54895-972,54895-972,22-10-2025,Satılık,Köşk,Müstakil Ev,6 + 3,3.0,161 m2  / 147 m2,3 Katlı,,104 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Ahşap,İkinci El,Boş,"Kuzey, Güney, Doğu, Batı",Hayır,,,Evet,,Uygun,,580
3.200.000 TL,İstanbul - Avcılar - Gümüşpala Mah.,https://www.hepsiemlak.com/istanbul-avcilar-gumuspala-satilik/daire/2608-6733,2608-6733,21-10-2025,Satılık,Daire,Daire,3 + 1,1.0,125 m2  / 110 m2,5 Katlı,3. Kat,40 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,,Kiracılı,,Hayır,,,Evet,,Uygun,,220
10.500.000 TL,İstanbul - Bahçelievler - Şirinevler Mah.,https://www.hepsiemlak.com/istanbul-bahcelievler-sirinevler-satilik/daire/70388-5250,70388-5250,02-10-2025,Satılık,Daire,Daire,3 + 1,1.0,144 m2  / 100 m2,9 Katlı,2. Kat,Sıfır Bina,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,Güney,Hayır,,,Evet,,Uygun,,200
245.000.000 TL,İstanbul - Sarıyer - Büyükdere Mah.,https://www.hepsiemlak.com/istanbul-sariyer-buyukdere-satilik/villa/7412-207612,7412-207612,29-09-2025,Satılık,Villa,,4 + 2,5.0,500 m2  / 450 m2,4 Katlı,,31 Yaşında,Kombi,,,Kat Mülkiyeti,Eşyalı Değil,,,Boş,"Güney, Doğu",Hayır,,,,Alsit Villaları,Uygun,,300
5.650.000 TL,İstanbul - Küçükçekmece - Atakent Mah.,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-satilik/daire/122950-602,122950-602,16-10-2025,Satılık,Daire,Daire,1 + 1,1.0,60 m2  / 50 m2,10 Katlı,8. Kat,16 Yaşında,Kombi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,,Boş,Batı,Hayır,27.000 TL,3.500 TL,Evet,Evet,Uygun,,650
1.900.000 TL,İstanbul - Kağıthane - Gültepe Mah.,https://www.hepsiemlak.com/istanbul-kagithane-gultepe-satilik/daire/121077-662,121077-662,01-10-2025,Satılık,Daire,Daire,1 + 1,1.0,65 m2  / 60 m2,4 Katlı,Yarı Bodrum,30 Yaşında,Doğalgaz Sobası,Doğalgaz,,Arsa,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Güney, Doğu",Hayır,15.000 TL,1 TL,Evet,,Uygun değil,,700
6.500.000 TL,İstanbul - Kağıthane - Çağlayan Mah.,https://www.hepsiemlak.com/istanbul-kagithane-caglayan-satilik/daire/34471-4057,34471-4057,08-10-2025,Satılık,Daire,Daire,2 + 1,1.0,115 m2  / 70 m2,12 Katlı,8. Kat,4 Yaşında,Merkezi (Pay Ölçer),Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,Güney,Hayır,40.000 TL,2.800 TL,Evet,,Uygun,,700
7.875.000 TL,İstanbul - Çekmeköy - Cumhuriyet Mah.,https://www.hepsiemlak.com/istanbul-cekmekoy-cumhuriyet-satilik/daire/32818-323,32818-323,20-10-2025,Satılık,Daire,,3 + 1,2.0,160 m2  / 135 m2,9 Katlı,2. Kat,16 Yaşında,Kombi,,,Kat Mülkiyeti,Eşyalı Değil,,,Mülk Sahibi,"Kuzey, Doğu, Batı",Hayır,,,,Teras Çekmeköy,Uygun,,750
7.200.000 TL,İstanbul - Maltepe - Altayçeşme Mah.,https://www.hepsiemlak.com/istanbul-maltepe-altaycesme-satilik/daire/1899-2372,1899-2372,08-10-2025,Satılık,Daire,Daire,2 + 1,1.0,125 m2  / 104 m2,10 Katlı,4. Kat,33 Yaşında,Merkezi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Mülk Sahibi,"Kuzey, Batı",Hayır,40.000 TL,1.800 TL,Evet,,Uygun,,700
17.500.000 TL,İstanbul - Kadıköy - Sahrayı Cedit Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-sahrayi-cedit-satilik/daire/29305-11609,29305-11609,21-10-2025,Satılık,Daire,Daire,3 + 1,2.0,120 m2  / 103 m2,14 Katlı,10. Kat,Sıfır Bina,Merkezi (Pay Ölçer),Doğalgaz,,Kat İrtifakı,Eşyalı Değil,Betonarme,Sıfır,Boş,"Güney, Doğu, Batı",Hayır,90.000 TL,,Evet,,Uygun,,750
13.000.000 TL,İstanbul - Kadıköy - Merdivenköy Mah.,https://www.hepsiemlak.com/istanbul-kadikoy-merdivenkoy-satilik/daire/91714-729,91714-729,15-10-2025,Satılık,Daire,Daire,3 + 1,1.0,115 m2  / 90 m2,13 Katlı,8. Kat,7 Yaşında,Merkezi,Doğalgaz,,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Kiracılı,"Güney, Batı",Hayır,35.000 TL,,Evet,,Uygun,,750
6.800.000 TL,İstanbul - Eyüpsultan - Akşemsettin Mah.,https://www.hepsiemlak.com/istanbul-eyupsultan-aksemsettin-satilik/daire/162959-8,162959-8,22-10-2025,Satılık,Daire,,2 + 1,1.0,116 m2  / 66 m2,9 Katlı,8. Kat,1 Yaşında,Yerden Isıtma,,,Kat İrtifakı,Eşyalı Değil,,,Boş,"Kuzey, Güney",Hayır,,1 TL,,,Uygun,,800
